bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=4096
1005295 records sent, 198048.7 records/sec (24.18 MB/sec), 225.7 ms avg latency, 826.0 max latency.
981172 records sent, 194484.0 records/sec (23.74 MB/sec), 250.9 ms avg latency, 1002.0 max latency.
977013 records sent, 194857.0 records/sec (23.79 MB/sec), 259.2 ms avg latency, 1170.0 max latency.
953538 records sent, 184722.6 records/sec (22.55 MB/sec), 270.7 ms avg latency, 1186.0 max latency.
990028 records sent, 193629.6 records/sec (23.64 MB/sec), 260.5 ms avg latency, 1541.0 max latency.
974815 records sent, 194963.0 records/sec (23.80 MB/sec), 252.8 ms avg latency, 1037.0 max latency.
980567 records sent, 196113.4 records/sec (23.94 MB/sec), 254.2 ms avg latency, 1072.0 max latency.
1006998 records sent, 201399.6 records/sec (24.58 MB/sec), 258.6 ms avg latency, 1062.0 max latency.
986243 records sent, 197248.6 records/sec (24.08 MB/sec), 260.3 ms avg latency, 1076.0 max latency.
935523 records sent, 187104.6 records/sec (22.84 MB/sec), 267.6 ms avg latency, 1245.0 max latency.
910803 records sent, 181905.9 records/sec (22.21 MB/sec), 260.0 ms avg latency, 1127.0 max latency.
946740 records sent, 187250.8 records/sec (22.86 MB/sec), 266.3 ms avg latency, 1089.0 max latency.
964414 records sent, 192882.8 records/sec (23.55 MB/sec), 262.4 ms avg latency, 1123.0 max latency.
955726 records sent, 190763.7 records/sec (23.29 MB/sec), 260.2 ms avg latency, 1119.0 max latency.
1031334 records sent, 206266.8 records/sec (25.18 MB/sec), 260.1 ms avg latency, 1081.0 max latency.
986585 records sent, 192054.7 records/sec (23.44 MB/sec), 254.6 ms avg latency, 946.0 max latency.
956943 records sent, 188969.8 records/sec (23.07 MB/sec), 262.9 ms avg latency, 1072.0 max latency.
942826 records sent, 188188.8 records/sec (22.97 MB/sec), 263.1 ms avg latency, 1086.0 max latency.
985476 records sent, 195027.9 records/sec (23.81 MB/sec), 258.3 ms avg latency, 961.0 max latency.
946515 records sent, 188925.1 records/sec (23.06 MB/sec), 270.8 ms avg latency, 1078.0 max latency.
948750 records sent, 189371.3 records/sec (23.12 MB/sec), 263.9 ms avg latency, 1138.0 max latency.
964212 records sent, 192842.4 records/sec (23.54 MB/sec), 259.5 ms avg latency, 1074.0 max latency.
986388 records sent, 197277.6 records/sec (24.08 MB/sec), 253.0 ms avg latency, 1076.0 max latency.
954219 records sent, 190843.8 records/sec (23.30 MB/sec), 265.2 ms avg latency, 1139.0 max latency.
948888 records sent, 189588.0 records/sec (23.14 MB/sec), 257.8 ms avg latency, 1069.0 max latency.
987607 records sent, 197521.4 records/sec (24.11 MB/sec), 257.8 ms avg latency, 1113.0 max latency.
923086 records sent, 183955.0 records/sec (22.46 MB/sec), 264.2 ms avg latency, 1044.0 max latency.
989724 records sent, 195985.0 records/sec (23.92 MB/sec), 254.2 ms avg latency, 1116.0 max latency.
950770 records sent, 190154.0 records/sec (23.21 MB/sec), 279.7 ms avg latency, 1122.0 max latency.
955044 records sent, 191008.8 records/sec (23.32 MB/sec), 255.5 ms avg latency, 1099.0 max latency.
991790 records sent, 198358.0 records/sec (24.21 MB/sec), 259.5 ms avg latency, 1084.0 max latency.
898853 records sent, 179770.6 records/sec (21.94 MB/sec), 279.5 ms avg latency, 1218.0 max latency.
961383 records sent, 191167.8 records/sec (23.34 MB/sec), 263.4 ms avg latency, 1107.0 max latency.
913754 records sent, 182386.0 records/sec (22.26 MB/sec), 263.4 ms avg latency, 907.0 max latency.
929139 records sent, 185308.9 records/sec (22.62 MB/sec), 276.7 ms avg latency, 1170.0 max latency.
951144 records sent, 190228.8 records/sec (23.22 MB/sec), 264.9 ms avg latency, 908.0 max latency.
941845 records sent, 186651.8 records/sec (22.78 MB/sec), 270.7 ms avg latency, 996.0 max latency.
906537 records sent, 181307.4 records/sec (22.13 MB/sec), 265.5 ms avg latency, 1084.0 max latency.
907716 records sent, 181108.5 records/sec (22.11 MB/sec), 282.5 ms avg latency, 1244.0 max latency.
867078 records sent, 173415.6 records/sec (21.17 MB/sec), 287.7 ms avg latency, 1116.0 max latency.
938070 records sent, 187614.0 records/sec (22.90 MB/sec), 271.9 ms avg latency, 947.0 max latency.
910570 records sent, 182041.2 records/sec (22.22 MB/sec), 268.4 ms avg latency, 884.0 max latency.
941831 records sent, 188027.8 records/sec (22.95 MB/sec), 271.6 ms avg latency, 885.0 max latency.
952364 records sent, 189487.5 records/sec (23.13 MB/sec), 275.4 ms avg latency, 859.0 max latency.
942830 records sent, 187852.2 records/sec (22.93 MB/sec), 263.5 ms avg latency, 949.0 max latency.
949022 records sent, 188559.9 records/sec (23.02 MB/sec), 264.2 ms avg latency, 829.0 max latency.
934913 records sent, 186052.3 records/sec (22.71 MB/sec), 271.7 ms avg latency, 940.0 max latency.
952529 records sent, 189444.9 records/sec (23.13 MB/sec), 263.8 ms avg latency, 824.0 max latency.
918400 records sent, 183680.0 records/sec (22.42 MB/sec), 258.8 ms avg latency, 1092.0 max latency.
944963 records sent, 186383.2 records/sec (22.75 MB/sec), 286.3 ms avg latency, 1106.0 max latency.
951441 records sent, 189794.7 records/sec (23.17 MB/sec), 259.3 ms avg latency, 968.0 max latency.
916548 records sent, 182797.8 records/sec (22.31 MB/sec), 269.3 ms avg latency, 1013.0 max latency.
954015 records sent, 190803.0 records/sec (23.29 MB/sec), 266.9 ms avg latency, 823.0 max latency.
965324 records sent, 192525.7 records/sec (23.50 MB/sec), 258.7 ms avg latency, 969.0 max latency.
947781 records sent, 189518.3 records/sec (23.13 MB/sec), 265.6 ms avg latency, 1061.0 max latency.
926949 records sent, 185389.8 records/sec (22.63 MB/sec), 270.4 ms avg latency, 1086.0 max latency.
966576 records sent, 193315.2 records/sec (23.60 MB/sec), 260.7 ms avg latency, 857.0 max latency.
958360 records sent, 189849.4 records/sec (23.17 MB/sec), 260.7 ms avg latency, 924.0 max latency.
924010 records sent, 184433.1 records/sec (22.51 MB/sec), 267.2 ms avg latency, 1059.0 max latency.
997169 records sent, 197498.3 records/sec (24.11 MB/sec), 261.7 ms avg latency, 953.0 max latency.
961606 records sent, 192321.2 records/sec (23.48 MB/sec), 261.3 ms avg latency, 855.0 max latency.
935960 records sent, 187192.0 records/sec (22.85 MB/sec), 267.5 ms avg latency, 942.0 max latency.
933642 records sent, 185984.5 records/sec (22.70 MB/sec), 264.5 ms avg latency, 834.0 max latency.
930053 records sent, 186010.6 records/sec (22.71 MB/sec), 266.2 ms avg latency, 1011.0 max latency.
967181 records sent, 193436.2 records/sec (23.61 MB/sec), 270.5 ms avg latency, 966.0 max latency.
916953 records sent, 182915.0 records/sec (22.33 MB/sec), 272.9 ms avg latency, 894.0 max latency.
937812 records sent, 186740.7 records/sec (22.80 MB/sec), 262.5 ms avg latency, 953.0 max latency.
911437 records sent, 182287.4 records/sec (22.25 MB/sec), 284.4 ms avg latency, 1044.0 max latency.
924431 records sent, 184886.2 records/sec (22.57 MB/sec), 258.2 ms avg latency, 915.0 max latency.
972080 records sent, 193564.3 records/sec (23.63 MB/sec), 259.7 ms avg latency, 872.0 max latency.
937692 records sent, 187351.0 records/sec (22.87 MB/sec), 272.4 ms avg latency, 914.0 max latency.
949487 records sent, 189897.4 records/sec (23.18 MB/sec), 258.4 ms avg latency, 1054.0 max latency.
947888 records sent, 189577.6 records/sec (23.14 MB/sec), 268.3 ms avg latency, 1059.0 max latency.
963352 records sent, 192554.9 records/sec (23.51 MB/sec), 266.9 ms avg latency, 997.0 max latency.
913547 records sent, 182709.4 records/sec (22.30 MB/sec), 265.5 ms avg latency, 989.0 max latency.
927659 records sent, 185531.8 records/sec (22.65 MB/sec), 274.6 ms avg latency, 1046.0 max latency.
917693 records sent, 183538.6 records/sec (22.40 MB/sec), 256.7 ms avg latency, 1256.0 max latency.
915510 records sent, 181829.2 records/sec (22.20 MB/sec), 283.4 ms avg latency, 1200.0 max latency.
941330 records sent, 188266.0 records/sec (22.98 MB/sec), 267.1 ms avg latency, 1134.0 max latency.
913223 records sent, 182280.0 records/sec (22.25 MB/sec), 281.4 ms avg latency, 1145.0 max latency.
919728 records sent, 183688.4 records/sec (22.42 MB/sec), 266.8 ms avg latency, 958.0 max latency.
927055 records sent, 185411.0 records/sec (22.63 MB/sec), 279.4 ms avg latency, 926.0 max latency.
929400 records sent, 185657.2 records/sec (22.66 MB/sec), 270.0 ms avg latency, 971.0 max latency.
908599 records sent, 181719.8 records/sec (22.18 MB/sec), 266.1 ms avg latency, 1109.0 max latency.
938460 records sent, 187692.0 records/sec (22.91 MB/sec), 262.7 ms avg latency, 973.0 max latency.
930256 records sent, 186051.2 records/sec (22.71 MB/sec), 282.3 ms avg latency, 1055.0 max latency.
910071 records sent, 182014.2 records/sec (22.22 MB/sec), 258.6 ms avg latency, 1051.0 max latency.
